NK_BABKnoten,NK_Name,NK_Knotenpunktfunktion,NK_GeoStrKls,lon,lat,Autobahn_only,Autobahn_all,Bundesstrasse_all,Rest_all
J,Leipzig-Mitte,Anschlussstelle,AB----,12.389246572661985,51.40600345484887,0,1,1,0
N, , ,-B----,12.43401587813731,51.455728555918945,0,0,1,0
N, , ,-B----,12.37347728321089,51.42483506815528,0,0,1,0
N, , ,-B----,12.418507186170922,51.445474516257136,0,0,1,0
N, , ,-BS---,12.346071006325124,51.47406624692403,0,0,1,0
N, , ,-BS---,12.354764073982095,51.47445538035416,0,0,1,0
N, , ,-BS---,12.450719359674421,51.468911820599274,0,0,1,0
N, , ,-B----,12.461233965093498,51.48739888814638,0,0,1,0
N, , ,-B----,12.396221118569423,51.41551558822606,0,0,1,0
N, , ,-B----,12.380578190008984,51.42144461265201,0,0,1,0
N, , ,-B----,12.40314816469662,51.42530376700513,0,0,1,0
N, , ,-B----,12.405329198552256,51.427634034272536,0,0,1,0
N, , ,-B----,12.407039931359323,51.428892511825126,0,0,1,0
N, , ,-BS---,12.399970218126818,51.420095065241654,0,0,1,0
N,Eilenburg, ,-BS---,12.664926894910131,51.46161281761513,0,0,1,0
N, , ,-B----,12.640531116572074,51.40892400462795,0,0,1,0
N, , ,-B----,12.6158722646824,51.438056835431226,0,0,1,0
N, , ,-B----,12.556797253559761,51.421382022684746,0,0,1,0
N,Eilenburg, ,-B----,12.609082061816645,51.464638094086325,0,0,1,0
N, , ,-B----,12.548223941672774,51.41605440351215,0,0,1,0
N,Eilenburg, ,-BS---,12.611104627981849,51.458566768869915,0,0,1,0
N,Eilenburg, ,-B----,12.613985119412629,51.443346217379165,0,0,1,0
N, , ,-B----,12.678138986687022,51.46701564869448,0,0,1,0
N, , ,-BS---,13.120124778537015,51.47906826920883,0,0,1,0
N, , ,-B----,13.141410915384855,51.47393432984652,0,0,1,0
N, , ,-B----,13.15463602532114,51.46199866439973,0,0,1,0
N,(BB/SN),Landesgrenze,-BL---,13.185061120545953,51.43802131633959,0,0,1,0
N,(BB/SN),Landesgrenze,-B----,13.184514111517979,51.42377443554005,0,0,1,0
N, , ,-B----,13.173136222040748,51.44482011113311,0,0,1,0
N,"B101/K6209 : EE Elsterwerda, Stadt", ,-B----,13.494663467473627,51.4827982430928,0,0,1,0
N,"B101/K6207 : EE Elsterwerda, Stadt", ,-B----,13.494889091280168,51.468831674283244,0,0,1,0
N,"B101/K6210 : EE Elsterwerda, Stadt", ,-B----,13.496101217517854,51.47243006455677,0,0,1,0
N,(BB/SN) B169/L59,Landesgrenze,-BL---,13.471112734025791,51.42237786358776,0,0,1,0
N,B101/L59 : EE Wainsdorf, ,-B----,13.496528358669522,51.40994940890875,0,0,1,0
N,(BB/SN),Landesgrenze,-B----,13.465701439932415,51.420578506137616,0,0,1,0
N,(BB/SN),Landesgrenze,-B----,13.467276122824781,51.42125056573791,0,0,1,0
